"","Data","Method","metric","slice","difference","Df","T","p-value"," "
"456","Eutherians","Intervals:tips+nodes","centroid","89.8-86.3:86.3-83.6",-0.04,13,-0.118,1," "
"457","Eutherians","Intervals:tips+nodes","centroid","86.3-83.6:83.6-72.1",-0.68,39,-4.936,0.00031,"***"
"458","Eutherians","Intervals:tips+nodes","centroid","83.6-72.1:72.1-66",0.1,52,1.81,1," "
"459","Eutherians","Intervals:tips+nodes","centroid","72.1-66:66-61.6",-0.08,41,-1.125,1," "
"460","Eutherians","Intervals:tips+nodes","centroid","66-61.6:61.6-59.2",0.5,29,3.339,0.04646,"*"
"461","Eutherians","Intervals:tips+nodes","centroid","61.6-59.2:59.2-56",-0.26,19,-1.243,1," "
"462","Eutherians","Intervals:tips+nodes","centroid","59.2-56:56-47.8",-0.26,36,-2.853,0.14275," "
"463","Eutherians","Intervals:tips+nodes","centroid","56-47.8:47.8-41.3",0.68,30,4.076,0.00619,"**"
"464","Eutherians","Intervals:tips+nodes","centroid","47.8-41.3:41.3-33.9",-0.16,13,-0.464,1," "
"465","Eutherians","Intervals:tips+nodes","centroid","41.3-33.9:33.9-23.03",1.57,9,2.202,1," "
"466","Eutherians","Intervals:tips+nodes","centroid","33.9-23.03:20.44-0",-1.98,16,-3.903,0.02534,"*"
"467","Eutherians","Slices:punctuated","centroid","170:165",-1.05,5,-0.716,1," "
"468","Eutherians","Slices:punctuated","centroid","165:160",-0.41,7,-0.351,1," "
"469","Eutherians","Slices:punctuated","centroid","160:155",-0.55,10,-0.685,1," "
"470","Eutherians","Slices:punctuated","centroid","155:150",-0.08,11,-0.126,1," "
"471","Eutherians","Slices:punctuated","centroid","150:145",-0.42,13,-0.893,1," "
"472","Eutherians","Slices:punctuated","centroid","145:140",-0.06,15,-0.17,1," "
"473","Eutherians","Slices:punctuated","centroid","140:135",-0.2,18,-0.729,1," "
"474","Eutherians","Slices:punctuated","centroid","135:130",-0.15,24,-0.749,1," "
"475","Eutherians","Slices:punctuated","centroid","130:125",0.05,27,0.31,1," "
"476","Eutherians","Slices:punctuated","centroid","125:120",-0.01,27,-0.058,1," "
"477","Eutherians","Slices:punctuated","centroid","120:115",-0.17,28,-1.139,1," "
"478","Eutherians","Slices:punctuated","centroid","115:110",0.03,33,0.242,1," "
"479","Eutherians","Slices:punctuated","centroid","110:105",-0.07,38,-0.622,1," "
"480","Eutherians","Slices:punctuated","centroid","105:100",-0.09,44,-0.996,1," "
"481","Eutherians","Slices:punctuated","centroid","100:95",-0.05,47,-0.624,1," "
"482","Eutherians","Slices:punctuated","centroid","95:90",-0.04,52,-0.656,1," "
"483","Eutherians","Slices:punctuated","centroid","90:85",0.03,58,0.436,1," "
"484","Eutherians","Slices:punctuated","centroid","85:80",-0.05,64,-0.858,1," "
"485","Eutherians","Slices:punctuated","centroid","80:75",0.06,66,1.031,1," "
"486","Eutherians","Slices:punctuated","centroid","75:70",-0.08,73,-1.516,1," "
"487","Eutherians","Slices:punctuated","centroid","70:65",-0.02,84,-0.502,1," "
"488","Eutherians","Slices:punctuated","centroid","65:60",0.05,76,0.953,1," "
"489","Eutherians","Slices:punctuated","centroid","60:55",0,67,-0.03,1," "
"490","Eutherians","Slices:punctuated","centroid","55:50",0.1,59,1.429,1," "
"491","Eutherians","Slices:punctuated","centroid","50:45",0.06,48,0.611,1," "
"492","Eutherians","Slices:punctuated","centroid","45:40",-0.03,44,-0.32,1," "
"493","Eutherians","Slices:punctuated","centroid","40:35",0.05,40,0.374,1," "
"494","Eutherians","Slices:punctuated","centroid","35:30",0.04,33,0.297,1," "
"495","Eutherians","Slices:punctuated","centroid","30:25",-0.05,29,-0.303,1," "
"496","Eutherians","Slices:punctuated","centroid","25:20",-0.06,28,-0.404,1," "
"497","Eutherians","Slices:punctuated","centroid","20:15",-0.01,27,-0.099,1," "
"498","Eutherians","Slices:punctuated","centroid","15:10",0,26,-0.033,1," "
"499","Eutherians","Slices:punctuated","centroid","10:5",0,26,-0.008,1," "
"500","Eutherians","Slices:punctuated","centroid","5:0",0,26,-0.008,1," "
"501","Eutherians","Slices:ACCTRAN","centroid","170:165",-0.06,5,-0.045,1," "
"502","Eutherians","Slices:ACCTRAN","centroid","165:160",-0.52,7,-0.497,1," "
"503","Eutherians","Slices:ACCTRAN","centroid","160:155",-0.65,10,-1.067,1," "
"504","Eutherians","Slices:ACCTRAN","centroid","155:150",0.01,11,0.027,1," "
"505","Eutherians","Slices:ACCTRAN","centroid","150:145",-0.39,13,-1.091,1," "
"506","Eutherians","Slices:ACCTRAN","centroid","145:140",0.21,15,0.644,1," "
"507","Eutherians","Slices:ACCTRAN","centroid","140:135",-0.32,18,-1.155,1," "
"508","Eutherians","Slices:ACCTRAN","centroid","135:130",-0.13,24,-0.771,1," "
"509","Eutherians","Slices:ACCTRAN","centroid","130:125",-0.05,27,-0.361,1," "
"510","Eutherians","Slices:ACCTRAN","centroid","125:120",0.11,27,0.676,1," "
"511","Eutherians","Slices:ACCTRAN","centroid","120:115",-0.14,28,-0.9,1," "
"512","Eutherians","Slices:ACCTRAN","centroid","115:110",-0.03,33,-0.253,1," "
"513","Eutherians","Slices:ACCTRAN","centroid","110:105",-0.07,38,-0.719,1," "
"514","Eutherians","Slices:ACCTRAN","centroid","105:100",-0.03,44,-0.435,1," "
"515","Eutherians","Slices:ACCTRAN","centroid","100:95",0,47,-0.071,1," "
"516","Eutherians","Slices:ACCTRAN","centroid","95:90",-0.13,52,-2.171,1," "
"517","Eutherians","Slices:ACCTRAN","centroid","90:85",0.06,58,1.093,1," "
"518","Eutherians","Slices:ACCTRAN","centroid","85:80",-0.08,64,-1.387,1," "
"519","Eutherians","Slices:ACCTRAN","centroid","80:75",0.08,66,1.415,1," "
"520","Eutherians","Slices:ACCTRAN","centroid","75:70",-0.08,73,-1.715,1," "
"521","Eutherians","Slices:ACCTRAN","centroid","70:65",-0.04,84,-0.944,1," "
"522","Eutherians","Slices:ACCTRAN","centroid","65:60",0.03,76,0.763,1," "
"523","Eutherians","Slices:ACCTRAN","centroid","60:55",0,67,0.057,1," "
"524","Eutherians","Slices:ACCTRAN","centroid","55:50",0.07,59,0.957,1," "
"525","Eutherians","Slices:ACCTRAN","centroid","50:45",0.06,48,0.714,1," "
"526","Eutherians","Slices:ACCTRAN","centroid","45:40",0.01,44,0.094,1," "
"527","Eutherians","Slices:ACCTRAN","centroid","40:35",0,40,0.005,1," "
"528","Eutherians","Slices:ACCTRAN","centroid","35:30",0.08,33,0.673,1," "
"529","Eutherians","Slices:ACCTRAN","centroid","30:25",0.16,29,1.068,1," "
"530","Eutherians","Slices:ACCTRAN","centroid","25:20",0.03,28,0.196,1," "
"531","Eutherians","Slices:ACCTRAN","centroid","20:15",-0.19,27,-1.224,1," "
"532","Eutherians","Slices:ACCTRAN","centroid","15:10",0.04,26,0.271,1," "
"533","Eutherians","Slices:ACCTRAN","centroid","10:5",0.03,26,0.203,1," "
"534","Eutherians","Slices:ACCTRAN","centroid","5:0",-0.16,26,-1.073,1," "
"535","Eutherians","Slices:DELTRAN","centroid","170:165",-0.69,5,-0.65,1," "
"536","Eutherians","Slices:DELTRAN","centroid","165:160",-0.45,7,-0.645,1," "
"537","Eutherians","Slices:DELTRAN","centroid","160:155",-0.37,10,-0.808,1," "
"538","Eutherians","Slices:DELTRAN","centroid","155:150",0.2,11,0.491,1," "
"539","Eutherians","Slices:DELTRAN","centroid","150:145",-0.4,13,-1.117,1," "
"540","Eutherians","Slices:DELTRAN","centroid","145:140",0.12,15,0.412,1," "
"541","Eutherians","Slices:DELTRAN","centroid","140:135",-0.32,18,-1.397,1," "
"542","Eutherians","Slices:DELTRAN","centroid","135:130",-0.09,24,-0.617,1," "
"543","Eutherians","Slices:DELTRAN","centroid","130:125",-0.03,27,-0.211,1," "
"544","Eutherians","Slices:DELTRAN","centroid","125:120",0.05,27,0.446,1," "
"545","Eutherians","Slices:DELTRAN","centroid","120:115",-0.08,28,-0.701,1," "
"546","Eutherians","Slices:DELTRAN","centroid","115:110",-0.07,33,-0.756,1," "
"547","Eutherians","Slices:DELTRAN","centroid","110:105",-0.03,38,-0.346,1," "
"548","Eutherians","Slices:DELTRAN","centroid","105:100",-0.07,44,-1.016,1," "
"549","Eutherians","Slices:DELTRAN","centroid","100:95",0,47,0.018,1," "
"550","Eutherians","Slices:DELTRAN","centroid","95:90",-0.06,52,-1.233,1," "
"551","Eutherians","Slices:DELTRAN","centroid","90:85",0.01,58,0.13,1," "
"552","Eutherians","Slices:DELTRAN","centroid","85:80",-0.03,64,-0.59,1," "
"553","Eutherians","Slices:DELTRAN","centroid","80:75",0.05,66,1.094,1," "
"554","Eutherians","Slices:DELTRAN","centroid","75:70",-0.11,73,-2.721,0.2768," "
"555","Eutherians","Slices:DELTRAN","centroid","70:65",-0.01,84,-0.271,1," "
"556","Eutherians","Slices:DELTRAN","centroid","65:60",0.03,76,0.911,1," "
"557","Eutherians","Slices:DELTRAN","centroid","60:55",-0.02,67,-0.61,1," "
"558","Eutherians","Slices:DELTRAN","centroid","55:50",0.03,59,0.647,1," "
"559","Eutherians","Slices:DELTRAN","centroid","50:45",0.03,48,0.516,1," "
"560","Eutherians","Slices:DELTRAN","centroid","45:40",-0.02,44,-0.257,1," "
"561","Eutherians","Slices:DELTRAN","centroid","40:35",0.06,40,0.836,1," "
"562","Eutherians","Slices:DELTRAN","centroid","35:30",0.07,33,0.747,1," "
"563","Eutherians","Slices:DELTRAN","centroid","30:25",0.03,29,0.263,1," "
"564","Eutherians","Slices:DELTRAN","centroid","25:20",0,28,0.034,1," "
"565","Eutherians","Slices:DELTRAN","centroid","20:15",0.03,27,0.267,1," "
"566","Eutherians","Slices:DELTRAN","centroid","15:10",0,26,-0.002,1," "
"567","Eutherians","Slices:DELTRAN","centroid","10:5",0,26,-0.019,1," "
"568","Eutherians","Slices:DELTRAN","centroid","5:0",0.01,26,0.074,1," "
"569","Eutherians","Slices:gradual","centroid","170:165",-1.2,5,-0.822,1," "
"570","Eutherians","Slices:gradual","centroid","165:160",-0.28,7,-0.244,1," "
"571","Eutherians","Slices:gradual","centroid","160:155",-0.66,10,-0.848,1," "
"572","Eutherians","Slices:gradual","centroid","155:150",0.39,11,0.586,1," "
"573","Eutherians","Slices:gradual","centroid","150:145",-0.79,13,-1.491,1," "
"574","Eutherians","Slices:gradual","centroid","145:140",0.21,15,0.506,1," "
"575","Eutherians","Slices:gradual","centroid","140:135",-0.48,18,-1.474,1," "
"576","Eutherians","Slices:gradual","centroid","135:130",-0.09,24,-0.478,1," "
"577","Eutherians","Slices:gradual","centroid","130:125",-0.1,27,-0.631,1," "
"578","Eutherians","Slices:gradual","centroid","125:120",0.1,27,0.658,1," "
"579","Eutherians","Slices:gradual","centroid","120:115",-0.14,28,-0.944,1," "
"580","Eutherians","Slices:gradual","centroid","115:110",-0.06,33,-0.519,1," "
"581","Eutherians","Slices:gradual","centroid","110:105",-0.02,38,-0.243,1," "
"582","Eutherians","Slices:gradual","centroid","105:100",-0.07,44,-0.888,1," "
"583","Eutherians","Slices:gradual","centroid","100:95",-0.01,47,-0.103,1," "
"584","Eutherians","Slices:gradual","centroid","95:90",-0.14,52,-2.126,1," "
"585","Eutherians","Slices:gradual","centroid","90:85",0.06,58,1.078,1," "
"586","Eutherians","Slices:gradual","centroid","85:80",-0.08,64,-1.448,1," "
"587","Eutherians","Slices:gradual","centroid","80:75",0.07,66,1.272,1," "
"588","Eutherians","Slices:gradual","centroid","75:70",-0.09,73,-1.845,1," "
"589","Eutherians","Slices:gradual","centroid","70:65",0.03,84,0.763,1," "
"590","Eutherians","Slices:gradual","centroid","65:60",0.04,76,0.798,1," "
"591","Eutherians","Slices:gradual","centroid","60:55",0.01,67,0.281,1," "
"592","Eutherians","Slices:gradual","centroid","55:50",0.05,59,0.836,1," "
"593","Eutherians","Slices:gradual","centroid","50:45",0.1,48,1.182,1," "
"594","Eutherians","Slices:gradual","centroid","45:40",0,44,0.016,1," "
"595","Eutherians","Slices:gradual","centroid","40:35",0.09,40,0.886,1," "
"596","Eutherians","Slices:gradual","centroid","35:30",0.09,33,0.674,1," "
"597","Eutherians","Slices:gradual","centroid","30:25",0.06,29,0.395,1," "
"598","Eutherians","Slices:gradual","centroid","25:20",0,28,-0.006,1," "
"599","Eutherians","Slices:gradual","centroid","20:15",0.06,27,0.34,1," "
"600","Eutherians","Slices:gradual","centroid","15:10",0,26,-0.01,1," "
"601","Eutherians","Slices:gradual","centroid","10:5",0.01,26,0.028,1," "
"602","Eutherians","Slices:gradual","centroid","5:0",-0.48,26,-3.07,0.16882," "
"603","Eutherians","Intervals:tips","sum.range","163.5-145:145-125",-37.13,6,-1.699,1," "
"604","Eutherians","Intervals:tips","sum.range","145-125:125-113",-11.27,9,-0.638,1," "
"605","Eutherians","Intervals:tips","sum.range","125-113:113-100.5",47.37,7,2.229,0.97664," "
"606","Eutherians","Intervals:tips","sum.range","113-100.5:100.5-93.9",-19.32,5,-0.844,1," "
"607","Eutherians","Intervals:tips","sum.range","100.5-93.9:93.9-89.8",-67.12,14,-3.988,0.02157,"*"
"608","Eutherians","Intervals:tips","sum.range","93.9-89.8:86.3-83.6",64.18,14,3.745,0.03479,"*"
"609","Eutherians","Intervals:tips","sum.range","86.3-83.6:83.6-72.1",-83.64,18,-4.883,0.00191,"**"
"610","Eutherians","Intervals:tips","sum.range","83.6-72.1:72.1-66",35.14,23,2.737,0.18796," "
"611","Eutherians","Intervals:tips","sum.range","72.1-66:66-61.6",-48.42,25,-3.684,0.01775,"*"
"612","Eutherians","Intervals:tips","sum.range","66-61.6:61.6-59.2",62.68,23,4.491,0.00265,"**"
"613","Eutherians","Intervals:tips","sum.range","61.6-59.2:59.2-56",-9.26,13,-0.631,1," "
"614","Eutherians","Intervals:tips","sum.range","59.2-56:56-47.8",-58.2,26,-4.697,0.0012,"**"
"615","Eutherians","Intervals:tips","sum.range","56-47.8:47.8-41.3",77.38,24,5.584,0.00015,"***"
"616","Eutherians","Intervals:tips","sum.range","47.8-41.3:38-33.9",-11.87,11,-0.713,1," "
"617","Eutherians","Intervals:tips","sum.range","38-33.9:33.9-23.03",57.45,8,2.775,0.38571," "
"618","Eutherians","Intervals:tips","sum.range","33.9-23.03:20.44-0",-99.37,16,-5.722,5e-04,"***"
"619","Eutherians","Intervals:tips+nodes","sum.range","170.3-157.3:157.3-152.1",67.46,7,2.126,1," "
"620","Eutherians","Intervals:tips+nodes","sum.range","157.3-152.1:152.1-145",-51.63,6,-1.594,1," "
"621","Eutherians","Intervals:tips+nodes","sum.range","152.1-145:145-132.9",-32.06,10,-1.198,1," "
"622","Eutherians","Intervals:tips+nodes","sum.range","145-132.9:132.9-125",6.59,11,0.251,1," "
"623","Eutherians","Intervals:tips+nodes","sum.range","132.9-125:125-113",-59.79,15,-2.408,0.58764," "
"624","Eutherians","Intervals:tips+nodes","sum.range","125-113:113-100.5",-15.62,23,-0.799,1," "
"625","Eutherians","Intervals:tips+nodes","sum.range","113-100.5:100.5-93.9",64.99,19,2.888,0.18829," "
"626","Eutherians","Intervals:tips+nodes","sum.range","100.5-93.9:93.9-89.8",-95.62,23,-4.084,0.00914,"**"
"627","Eutherians","Intervals:tips+nodes","sum.range","93.9-89.8:89.8-86.3",87.85,24,4.011,0.01025,"*"
"628","Eutherians","Intervals:tips+nodes","sum.range","89.8-86.3:86.3-83.6",7.72,13,0.317,1," "
"629","Eutherians","Intervals:tips+nodes","sum.range","86.3-83.6:83.6-72.1",-169.11,39,-7.163,0,"***"
"630","Eutherians","Intervals:tips+nodes","sum.range","83.6-72.1:72.1-66",59.22,52,3.753,0.00884,"**"
"631","Eutherians","Intervals:tips+nodes","sum.range","72.1-66:66-61.6",-16.54,41,-1.015,1," "
"632","Eutherians","Intervals:tips+nodes","sum.range","66-61.6:61.6-59.2",112.39,29,5.172,0.00031,"***"
"633","Eutherians","Intervals:tips+nodes","sum.range","61.6-59.2:59.2-56",-52.63,19,-2.423,0.51052," "
"634","Eutherians","Intervals:tips+nodes","sum.range","59.2-56:56-47.8",-62.17,36,-3.331,0.04021,"*"
"635","Eutherians","Intervals:tips+nodes","sum.range","56-47.8:47.8-41.3",129.28,30,5.505,0.00011,"***"
"636","Eutherians","Intervals:tips+nodes","sum.range","47.8-41.3:41.3-33.9",-7.67,13,-0.327,1," "
"637","Eutherians","Intervals:tips+nodes","sum.range","41.3-33.9:33.9-23.03",98.95,9,3.312,0.18096," "
"638","Eutherians","Intervals:tips+nodes","sum.range","33.9-23.03:20.44-0",-141.76,16,-5.222,0.00168,"**"
"639","Eutherians","Slices:punctuated","sum.range","170:165",-39.71,5,-1.123,1," "
"640","Eutherians","Slices:punctuated","sum.range","165:160",-17.25,7,-0.537,1," "
"641","Eutherians","Slices:punctuated","sum.range","160:155",-30.1,10,-1.046,1," "
"642","Eutherians","Slices:punctuated","sum.range","155:150",-3.37,11,-0.126,1," "
"643","Eutherians","Slices:punctuated","sum.range","150:145",-37.17,13,-1.376,1," "
"644","Eutherians","Slices:punctuated","sum.range","145:140",-1.9,15,-0.077,1," "
"645","Eutherians","Slices:punctuated","sum.range","140:135",-35.87,18,-1.486,1," "
